1,1,Libram of Gainful Conjuration (M)
2,2,Libram of Ineffable Damnation (M)
3,3,Libram of Silver Magic (M)
4,4,Lyre of Building
5,5,Manual of Bodily Health
6,6,Manual of Gainful Exercise
7,7,Manual of Golems (CM)
8,8,Manual of Puissant Skill at Arms (F)
9,9,Manual of Quickness of Action
10,10,Manual of Stealthy Pilfering (T)
11,11,Mattock of the Titans (F)
12,12,Maul of the Titans
13,15,Medallion of ESP
16,17,Medallion of Thought Projection
18,18,Mirror of Life Trapping (M)
19,19,Mirror of Mental Prowess
20,20,Mirror of Opposition
21,23,Necklace of Adaptation
24,27,Necklace of Missiles
28,33,Necklace of Prayer Beads (C)
34,35,Necklace of Strangulation
36,38,Net of Entrapment (CFT)
39,42,Net of Snaring (CFT)
43,44,Nolzur's Marvelous Pigments
45,46,Pearl of Power (M)
47,48,Pearl of Wisdom (C)
49,50,Periapt of Foul Rotting
51,53,Periapt of Health
54,60,Periapt of Proof Against Poison
61,64,Periapt of Wound Closure
65,70,Phylactery of Faithfulness (C)
71,74,Phylactery of Long Years (C)
75,76,Phylactery of Monstrous Attention (C)
77,84,Pipes of the Sewers
85,85,Portable Hole
86,100,Quaal's Feather Token
